@id,@lat,@lon,surveillance:type,operator,direction
12992852302,41.6934400,-87.5981496,ALPR,,230
12992852303,41.6862745,-87.6010919,ALPR,,270;250;80
12992852304,41.6869252,-87.6016272,ALPR,,240
12992852305,41.6618161,-87.5889585,ALPR,,280
12992852306,41.6594587,-87.5873321,ALPR,,80
12992852307,41.6589689,-87.5891167,ALPR,,110
12992852308,41.6615273,-87.5911697,ALPR,,230
12995178201,41.8966479,-87.6429020,ALPR,Chicago Police Department,0
12995178202,41.8964496,-87.6428496,ALPR,Chicago Police Department,90
12995178203,41.8964218,-87.6428498,ALPR,Chicago Police Department,90
12995178204,41.8965084,-87.6430781,ALPR,Chicago Police Department,270
13038086402,41.9520193,-87.8344138,ALPR,Chicago Police Department,70
13038150126,41.9254149,-87.7924619,ALPR,Flock Safety,210
13038150127,41.9254177,-87.7924621,ALPR,Flock Safety,285
13038155635,41.9314365,-87.7565652,ALPR,Chicago Police Department,265
13038155636,41.9682568,-87.7182839,ALPR,Chicago Police Department,165
13038182873,41.9517995,-87.8071614,ALPR,Chicago Police Department,325
13038182874,41.9518007,-87.8071524,ALPR,Chicago Police Department,345
13038198687,41.9274349,-87.7855449,ALPR,Chicago Police Department,0
13056453486,41.7481751,-87.7408555,ALPR,,95
13056453487,41.7489914,-87.7400048,ALPR,,190
13056453488,41.7490114,-87.7391009,ALPR,,180
13056453489,41.7471000,-87.7401150,ALPR,,25
13064471933,41.9121607,-87.6329997,ALPR,,330
13064471936,41.9109673,-87.6483975,ALPR,,270
13064471937,41.9108409,-87.6483360,ALPR,,180
13064471938,41.9108843,-87.6481667,ALPR,,90
13064471939,41.9110077,-87.6482297,ALPR,,0
13064471940,41.9108700,-87.6492859,ALPR,,90
13064471941,41.9109483,-87.6497353,ALPR,,270
13064471942,41.9110200,-87.6510496,ALPR,,330
13064471943,41.9108819,-87.6558502,ALPR,,240
13064471944,41.9109259,-87.6592158,ALPR,,10
13064471946,41.9109311,-87.6602801,ALPR,,320
13064471947,41.9137958,-87.6534608,ALPR,,320
13064471948,41.9138375,-87.6531684,ALPR,,0
13064471949,41.9137349,-87.6531095,ALPR,,90
13064471950,41.9134235,-87.6530990,ALPR,,130
13064471951,41.9134775,-87.6532626,ALPR,,180
13064471952,41.9107241,-87.6676051,ALPR,,0
13065601204,41.8754357,-87.6730596,ALPR,Illinois State Police,70;80;90;100;60
13065601205,41.8759033,-87.6728750,ALPR,Illinois State Police,270;260;250;280;290
13065601206,41.8761308,-87.6619676,ALPR,Illinois State Police,270;260;250;280;290
13065601209,41.8761876,-87.6571816,ALPR,Illinois State Police,280;270
13065601210,41.8755711,-87.6568074,ALPR,Illinois State Police,110;120
13082080208,41.7920079,-87.7950936,ALPR,,60
13082080209,41.7927180,-87.7803839,ALPR,,65
13082080210,41.7926906,-87.7803724,ALPR,,65
13082080211,41.7940936,-87.7722859,ALPR,,50
13082090122,41.7996027,-87.7626223,ALPR,,150
13082090123,41.7996102,-87.7623896,ALPR,,330
13097824993,41.9874483,-87.8068185,ALPR,Chicago Police Department,340
13111298130,41.9751637,-87.6550653,ALPR,,150
13111298131,41.9754150,-87.6549044,ALPR,,330
13113267488,41.9102355,-87.6774613,ALPR,,180
13113267489,41.9104910,-87.6773084,ALPR,,90
13113267490,41.9106347,-87.6777885,ALPR,,315
13113267491,41.9106307,-87.6774586,ALPR,,0
13113267492,41.9105429,-87.6779951,ALPR,,255
13113313635,41.9689823,-87.6599466,ALPR,,165
13113425620,41.9038644,-87.6300569,ALPR,,180
13113425621,41.9040480,-87.6286622,ALPR,,0
13116473119,41.8918034,-87.6266956,ALPR,,0
13116673906,41.8968950,-87.6241208,ALPR,,335
13116673907,41.8966914,-87.6240940,ALPR,,75
13116673908,41.9006903,-87.6242523,ALPR,,180
13116724751,41.9277794,-87.6816971,ALPR,The Home Depot,200
13119468205,41.9110068,-87.6432932,ALPR,,90
13119508735,41.9114317,-87.6255558,ALPR,,345
13119508736,41.9114177,-87.6261324,ALPR,,180
13119508737,41.9146033,-87.6273984,ALPR,,195
13119508738,41.9250133,-87.6305398,ALPR,,0
13119508739,41.9248153,-87.6310602,ALPR,,155
13119508740,41.9257637,-87.6337499,ALPR,,255
13119508741,41.9258298,-87.6360138,ALPR,,320
13119508742,41.9394520,-87.6380012,ALPR,,115
13124334735,41.9577853,-87.6814490,ALPR,,270
13124334736,41.9538930,-87.6885715,ALPR,,180
13124352708,41.9687374,-87.6888429,ALPR,,0
13146215129,41.8914845,-87.6396996,ALPR,,90
13146215130,41.8915564,-87.6400698,ALPR,,260
13146215131,41.8019525,-87.6312239,ALPR,,350;0;10
13146215132,41.8019548,-87.6311224,ALPR,,10
13146215133,41.8019556,-87.6309733,ALPR,,350;0;10
13146215134,41.7873618,-87.6308285,ALPR,,350;0;10;20
13146215135,41.7873644,-87.6305800,ALPR,,350;0;10
13146215136,41.7871223,-87.6313058,ALPR,,180;170;190
13146215137,41.7871183,-87.6314763,ALPR,,180
13146215138,41.7871137,-87.6316422,ALPR,,180;170;190
13146215139,41.7798377,-87.6312148,ALPR,,180;170;190
13146215140,41.7798307,-87.6314186,ALPR,,180;170;190;160
13146215141,41.7800727,-87.6307731,ALPR,,360;350;10;20
13146215142,41.7800738,-87.6305451,ALPR,,360;350;10
13146215143,41.7728743,-87.6258131,ALPR,,360;350;10
13146215144,41.7728784,-87.6255645,ALPR,,360;350;10
13146215145,41.7725957,-87.6261414,ALPR,,180;160;170
13146215146,41.7725917,-87.6263502,ALPR,,180;170
13146215147,41.7725898,-87.6264528,ALPR,,180
13146215148,41.7652921,-87.6259291,ALPR,,180;160;170;150;190;200
13146215149,41.7655925,-87.6255318,ALPR,,350;0;10;20;340;330
13146215150,41.7580419,-87.6257822,ALPR,,180;160;170;150;190
13146215151,41.7583091,-87.6253302,ALPR,,340;350;360;10;20
13146215152,41.7511595,-87.6249930,ALPR,,340;350;0;10;20
13146215153,41.7435181,-87.6252050,ALPR,,180;160;170;150;190
13146215154,41.7437836,-87.6247551,ALPR,,340;350;0;10;20
13146215155,41.6605259,-87.5891467,ALPR,,330;320;340;350
13146215156,41.6602652,-87.5891499,ALPR,,160;170;150;180;140
13156986667,41.8714024,-87.7490686,ALPR,Illinois State Police,90;70;80;100
13156986668,41.8713846,-87.7490672,ALPR,Illinois State Police,110
13156986669,41.8758133,-87.6815180,ALPR,Illinois State Police,270;260;280;260
13156986670,41.8759117,-87.6815166,ALPR,Illinois State Police,280
13156986671,41.8753522,-87.6812738,ALPR,Illinois State Police,70;80;90;100
13156986672,41.8755870,-87.6617182,ALPR,Illinois State Police,70;80;90;60;100
13167887143,41.9213165,-87.6777939,ALPR,,180
13171670587,41.9209339,-87.6633777,ALPR,,310
13171670588,41.9214540,-87.6687250,ALPR,,170
13172115298,41.9952651,-87.7146807,ALPR,,0
13172115299,41.9971162,-87.7131406,ALPR,,150
13172115300,41.9960465,-87.7127920,ALPR,,270
13191323620,41.9828327,-87.8059631,ALPR,Chicago Police Department,240
13191808015,41.9393147,-87.6882327,ALPR,,150
13191808016,41.9101790,-87.6910513,ALPR,,140
13191808017,41.9100672,-87.6971025,ALPR,,180
13191808018,41.9097500,-87.7436007,ALPR,,240
13191808019,41.9098268,-87.7460748,ALPR,,0
13191808020,41.9098256,-87.7460238,ALPR,,0
13191808021,41.9095875,-87.7559440,ALPR,,270
13191808022,41.9095414,-87.7559491,ALPR,,270
13191808023,41.9094725,-87.7557026,ALPR,,90
13191808024,41.9094283,-87.7556996,ALPR,,90
13191808028,41.9177796,-87.6726129,ALPR,,60
13191808031,41.9120963,-87.6602635,ALPR,,60
13191808032,41.9126984,-87.6598875,ALPR,,120
13198281664,41.9455066,-87.8003073,ALPR,,120
13208032331,41.9251615,-87.6727066,ALPR,,270
13208032332,41.9251317,-87.6727039,ALPR,,270
13235219313,41.9252165,-87.6721102,ALPR,,330
13246748773,41.8672172,-87.6390625,ALPR,Chicago Police Department,90
13246748774,41.8671893,-87.6390634,ALPR,Chicago Police Department,90
13246748775,41.8671627,-87.6390616,ALPR,Chicago Police Department,90
13246748776,41.8387205,-87.6077740,ALPR,Chicago Police Department,340
13246748777,41.8387229,-87.6078336,ALPR,Chicago Police Department,340
13254951702,41.9853818,-87.7878323,ALPR,,150
